Batch,Oven,Shelf,Item_ID,Recipe,p_i,r_i,delta_t,X_Start,Y_Start,Width,Length
2,1.0,1.0,42.0,2.0,84.89,8.64,60.0,264.0,452.0,19.0,8.0
2,1.0,1.0,14.0,2.0,90.69,7.9,30.0,137.0,490.0,13.0,10.0
2,1.0,1.0,12.0,2.0,85.11,8.63,45.0,153.0,492.0,12.0,9.0
2,1.0,1.0,41.0,2.0,97.31,8.57,30.0,98.0,454.0,5.0,19.0
2,1.0,1.0,9.0,2.0,84.88,8.63,60.0,165.0,492.0,10.0,9.0
2,1.0,1.0,10.0,2.0,90.85,10.74,45.0,175.0,492.0,10.0,9.0
2,1.0,1.0,19.0,2.0,90.49,9.32,30.0,185.0,492.0,9.0,10.0
2,1.0,1.0,49.0,2.0,91.38,10.72,45.0,98.0,473.0,5.0,17.0
2,1.0,1.0,47.0,2.0,71.98,8.69,30.0,249.0,496.0,12.0,7.0
2,1.0,1.0,7.0,2.0,84.59,7.22,30.0,261.0,496.0,10.0,8.0
2,1.0,1.0,24.0,2.0,84.86,7.21,30.0,271.0,496.0,15.0,5.0
2,1.0,1.0,20.0,2.0,91.19,9.31,30.0,0.0,498.0,14.0,5.0
2,1.0,1.0,40.0,2.0,72.36,8.67,45.0,98.0,490.0,5.0,12.0
2,1.0,1.0,45.0,2.0,97.58,10.0,45.0,194.0,492.0,6.0,10.0
2,1.0,1.0,48.0,2.0,97.21,9.99,30.0,14.0,498.0,8.0,5.0
2,1.0,2.0,262.0,2.0,83.15,11.21,60.0,0.0,0.0,91.0,252.0
2,1.0,2.0,256.0,2.0,77.3,11.1,60.0,91.0,0.0,100.0,268.0
2,1.0,2.0,261.0,2.0,96.67,11.32,30.0,91.0,268.0,148.0,157.0
2,1.0,2.0,236.0,2.0,83.26,11.51,60.0,191.0,0.0,92.0,150.0
2,1.0,2.0,258.0,2.0,84.51,10.37,60.0,0.0,252.0,68.0,205.0
2,1.0,2.0,215.0,2.0,79.17,8.48,30.0,239.0,268.0,46.0,232.0
2,1.0,2.0,244.0,2.0,70.91,8.57,30.0,91.0,425.0,142.0,79.0
2,1.0,2.0,242.0,2.0,96.07,12.09,60.0,191.0,150.0,72.0,85.0
2,1.0,2.0,174.0,2.0,84.6,8.85,60.0,0.0,457.0,41.0,47.0
2,1.0,2.0,126.0,2.0,98.62,11.1,30.0,68.0,252.0,9.0,230.0
2,1.0,2.0,110.0,2.0,90.94,11.04,45.0,263.0,150.0,17.0,93.0
2,1.0,2.0,105.0,2.0,79.02,6.92,30.0,77.0,252.0,14.0,106.0
2,1.0,2.0,101.0,2.0,78.24,6.79,45.0,77.0,358.0,10.0,134.0
2,1.0,2.0,149.0,2.0,71.36,8.81,60.0,191.0,235.0,47.0,25.0
2,1.0,2.0,148.0,2.0,90.37,7.97,60.0,238.0,235.0,24.0,32.0
2,1.0,2.0,74.0,2.0,72.09,8.74,30.0,41.0,457.0,16.0,42.0
2,1.0,2.0,104.0,2.0,78.64,8.19,60.0,283.0,0.0,5.0,140.0
2,1.0,2.0,61.0,2.0,90.47,10.77,30.0,57.0,457.0,10.0,46.0
2,1.0,2.0,13.0,2.0,97.03,8.6,60.0,263.0,243.0,16.0,20.0
2,1.0,2.0,84.0,2.0,78.3,6.53,45.0,280.0,150.0,7.0,39.0
2,1.0,2.0,83.0,2.0,72.05,7.25,60.0,280.0,189.0,6.0,25.0
2,1.0,2.0,54.0,2.0,78.4,9.37,45.0,279.0,243.0,9.0,25.0
2,1.0,2.0,36.0,2.0,72.13,8.69,30.0,280.0,214.0,8.0,18.0
2,1.0,2.0,51.0,2.0,78.03,9.36,60.0,68.0,482.0,7.0,17.0
2,1.0,2.0,21.0,2.0,72.5,7.26,60.0,233.0,425.0,6.0,15.0
2,1.0,2.0,8.0,2.0,96.92,8.57,30.0,77.0,492.0,9.0,9.0
2,1.0,2.0,6.0,2.0,72.43,8.68,45.0,283.0,140.0,5.0,9.0
2,1.0,2.0,29.0,2.0,72.6,5.84,45.0,280.0,232.0,6.0,7.0
2,1.0,3.0,284.0,2.0,71.18,14.11,60.0,0.0,0.0,230.0,317.0
2,1.0,3.0,208.0,2.0,84.61,12.5,30.0,230.0,0.0,54.0,299.0
2,1.0,3.0,227.0,2.0,96.25,12.03,30.0,0.0,317.0,134.0,135.0
2,1.0,3.0,229.0,2.0,83.72,8.78,30.0,134.0,317.0,142.0,96.0
2,1.0,3.0,180.0,2.0,78.16,8.39,60.0,134.0,413.0,41.0,82.0
2,1.0,3.0,194.0,2.0,96.71,9.02,60.0,175.0,413.0,50.0,77.0
2,1.0,3.0,143.0,2.0,71.48,7.55,60.0,225.0,413.0,53.0,50.0
2,1.0,3.0,161.0,2.0,83.88,8.8,60.0,0.0,452.0,44.0,36.0
2,1.0,3.0,177.0,2.0,97.08,10.12,30.0,44.0,452.0,34.0,34.0
2,1.0,3.0,142.0,2.0,78.5,9.46,45.0,78.0,452.0,20.0,50.0
2,1.0,3.0,172.0,2.0,90.8,10.83,30.0,225.0,463.0,39.0,23.0
2,1.0,3.0,170.0,2.0,83.95,10.13,30.0,98.0,452.0,28.0,29.0
2,1.0,3.0,169.0,2.0,84.32,8.71,30.0,98.0,481.0,34.0,23.0
2,1.0,3.0,147.0,2.0,84.72,7.27,30.0,264.0,463.0,20.0,31.0
2,1.0,3.0,58.0,2.0,71.92,7.31,45.0,276.0,317.0,12.0,46.0
2,1.0,3.0,39.0,2.0,71.97,5.87,30.0,230.0,299.0,17.0,18.0
2,1.0,3.0,2.0,2.0,97.45,11.43,30.0,276.0,363.0,10.0,19.0
2,1.0,4.0,259.0,2.0,83.4,13.55,45.0,0.0,0.0,128.0,237.0
2,1.0,4.0,266.0,2.0,77.69,9.37,45.0,128.0,0.0,116.0,203.0
2,1.0,4.0,212.0,2.0,78.37,9.97,30.0,244.0,0.0,44.0,300.0
2,1.0,4.0,216.0,2.0,90.85,11.1,60.0,128.0,203.0,41.0,236.0
2,1.0,4.0,184.0,2.0,71.43,9.4,60.0,169.0,203.0,41.0,144.0
2,1.0,4.0,214.0,2.0,96.72,11.01,30.0,210.0,203.0,31.0,218.0
2,1.0,4.0,243.0,2.0,89.38,10.72,45.0,0.0,237.0,105.0,125.0
2,1.0,4.0,191.0,2.0,77.54,8.52,45.0,0.0,362.0,54.0,92.0
2,1.0,4.0,157.0,2.0,83.71,8.99,30.0,54.0,362.0,57.0,55.0
2,1.0,4.0,166.0,2.0,90.63,8.28,45.0,54.0,417.0,59.0,59.0
2,1.0,4.0,160.0,2.0,84.54,7.38,60.0,244.0,300.0,28.0,58.0
2,1.0,4.0,193.0,2.0,96.87,11.75,45.0,105.0,237.0,21.0,114.0
