Batch,Oven,Shelf,Item_ID,Recipe,p_i,r_i,delta_t,m_i,c_i,Area,Batch_Duration
3,2,3.0,155,1,71.63,9.08,30,5.95,3.13,3540.0,77.64
3,2,3.0,159,1,72.01,8.97,45,5.92,3.04,2576.0,77.64
3,2,3.0,156,1,71.73,8.95,45,5.94,3.02,2340.0,77.64
3,2,2.0,127,1,74.39,7.29,30,4.0,3.29,1926.0,77.64
3,2,3.0,91,1,72.6,7.62,30,4.92,2.7,1785.0,77.64
3,2,3.0,102,1,72.63,6.09,60,3.95,2.13,1480.0,77.64
3,2,3.0,123,1,73.98,10.17,60,5.93,4.24,1290.0,77.64
3,2,3.0,109,1,72.19,7.56,45,4.92,2.64,1136.0,77.64
3,2,3.0,66,1,72.41,5.95,60,3.96,1.99,1044.0,77.64
3,2,3.0,144,1,71.54,5.93,60,3.98,1.95,925.0,77.64
3,2,3.0,68,1,72.48,7.33,60,4.9,2.43,705.0,77.64
3,2,1.0,44,1,71.8,8.7,60,5.85,2.85,280.0,77.64
3,2,1.0,72,1,72.48,5.85,30,3.93,1.92,270.0,77.64
3,2,2.0,35,1,72.34,8.69,45,5.85,2.84,140.0,77.64
3,2,3.0,1,1,71.68,7.28,45,4.9,2.37,120.0,77.64
4,2,1.0,282,3,84.76,20.64,60,8.05,12.6,92862.0,100.71
4,2,2.0,278,3,77.19,15.6,45,7.23,8.37,56012.0,100.71
4,2,1.0,260,3,84.08,10.52,60,5.35,5.17,27170.0,100.71
4,2,2.0,252,3,71.65,10.38,45,5.36,5.02,26130.0,100.71
4,2,1.0,253,3,71.81,10.35,60,5.35,5.0,24765.0,100.71
4,2,2.0,220,3,86.91,12.95,45,5.43,7.52,24681.0,100.71
4,2,2.0,276,3,83.61,9.59,30,5.26,4.33,21648.0,100.71
4,2,3.0,222,3,92.81,12.86,30,5.82,7.04,20633.0,100.71
4,2,3.0,223,3,98.79,14.91,45,7.22,7.69,18126.0,100.71
4,2,2.0,221,3,72.4,10.41,60,5.25,5.16,13299.0,100.71
4,2,3.0,241,3,84.04,11.46,60,7.02,4.44,12728.0,100.71
4,2,3.0,240,3,71.37,7.1,60,4.21,2.89,11270.0,100.71
4,2,3.0,213,3,97.3,13.17,45,7.9,5.28,11200.0,100.71
4,2,3.0,247,3,77.11,9.09,60,5.58,3.51,10836.0,100.71
4,2,3.0,210,3,71.39,8.64,30,5.11,3.53,10528.0,100.71
4,2,3.0,206,3,84.08,8.85,30,5.08,3.77,10471.0,100.71
